Contig	SRR5004095_bt2-counts.txt	SRR5004096_bt2-counts.txt	SRR5004097_bt2-counts.txt	SRR5004091_bt2-counts.txt	SRR5004078_bt2-counts.txt	SRR5004080_bt2-counts.txt	SRR5004093_bt2-counts.txt	SRR5004090_bt2-counts.txt	SRR5004082_bt2-counts.txt	SRR5004083_bt2-counts.txt	SRR5004085_bt2-counts.txt
contig#27105	21	12	14	42	15	19	43	1	21	2	18
contig#27106	16	22	154	155	31	31	33	16	24	9	10
contig#27107	21	25	10	16	42	26	45	5	10	2	12
contig#27108	3	2	3	3	0	5	4	1	1	0	0
contig#27109	34	57	58	66	29	46	44	49	56	12	54
contig#2711	239	320	504	901	221	526	848	203	370	106	366
contig#27110	7	8	13	21	10	14	13	3	8	0	10
contig#27111	16	8	6	7	11	7	4	12	22	4	16
contig#27112	4	26	20	36	3	46	26	6	10	2	13
contig#27113	1	2	7	3	0	2	1	0	0	1	3
contig#27114	14	31	12	42	19	17	16	25	18	5	21
contig#27115	4	13	16	25	3	10	25	2	8	2	5
contig#27116	19	14	14	21	13	12	30	6	15	2	7
contig#27117	8	6	7	14	6	6	5	4	5	8	5
contig#27118	2	2	6	5	2	2	3	0	0	0	2
contig#27119	8	9	60	85	6	41	73	12	12	4	11
contig#2712	204	419	1523	2031	191	944	2227	169	177	142	301
contig#27120	22	17	54	135	44	47	110	11	28	0	15
contig#27121	2	0	19	17	1	12	30	0	1	0	1
contig#27122	14	4	15	28	3	28	96	12	12	1	20
contig#27123	28	43	42	76	26	31	42	22	47	10	50
contig#27124	23	21	21	27	13	26	38	5	24	3	26
contig#27126	13	11	26	39	1	26	28	7	5	2	18
contig#27127	10	9	57	65	7	27	50	6	18	3	9
contig#27129	42	13	125	175	35	38	268	1	4	12	9
contig#2713	285	256	820	1039	254	644	1266	160	180	87	237
contig#27130	95	131	206	126	73	77	418	22	20	17	20
contig#27131	2	4	3	5	2	4	3	2	3	1	3
contig#27132	3	4	6	28	1	14	22	4	2	0	7
contig#27133	57	53	137	137	26	106	161	18	60	14	75
contig#27134	46	86	243	239	35	100	212	42	46	18	82
contig#27135	18	22	127	135	16	66	184	15	25	9	32
contig#27136	4	2	20	26	4	33	26	3	4	2	10
contig#27137	1	1	2	4	2	2	13	2	1	0	3
contig#27138	3	0	5	7	2	4	6	0	1	0	0
contig#27139	1	6	11	12	3	8	26	1	12	0	9
contig#2714	86	70	300	433	103	306	736	59	69	26	83
contig#27140	73	191	109	171	89	88	130	97	167	49	245
contig#27141	4	6	34	15	0	9	39	0	16	0	4
contig#27142	57	26	46	62	35	36	87	13	35	2	37
contig#27143	152	131	198	300	189	133	139	45	52	126	16
