Contig	SRR5004082_1_trimmed.fq.gz.sam_counts.txt	SRR5004093_1_trimmed.fq.gz.sam_counts.txt	SRR5004080_1_trimmed.fq.gz.sam_counts.txt	SRR5004085_1_trimmed.fq.gz.sam_counts.txt	SRR5004091_1_trimmed.fq.gz.sam_counts.txt	SRR5004078_1_trimmed.fq.gz.sam_counts.txt	SRR5004096_1_trimmed.fq.gz.sam_counts.txt	SRR5004097_1_trimmed.fq.gz.sam_counts.txt	SRR5004095_1_trimmed.fq.gz.sam_counts.txt	SRR5004083_1_trimmed.fq.gz.sam_counts.txt	SRR5004090_1_trimmed.fq.gz.sam_counts.txt	SRR5004094_1_trimmed.fq.gz.sam_counts.txt
contig#15092	14	154	71	30	97	22	51	140	48	8	31	181
contig#15093	11	27	20	16	34	5	21	21	11	7	10	30
contig#15094	134	787	364	148	714	45	97	516	60	26	67	612
contig#15095	35	88	107	8	36	3	2	42	5	0	28	53
contig#15096	25	122	92	34	124	17	34	131	21	7	16	145
contig#15097	67	303	279	122	301	81	92	143	49	26	25	241
contig#15098	24	112	169	32	159	16	27	120	19	6	28	125
contig#15099	17	40	24	25	70	12	16	45	8	14	14	50
contig#151	71	527	214	68	415	32	55	354	52	25	48	450
contig#1510	258	1313	775	308	1212	242	303	896	211	77	153	1067
contig#15100	5	33	9	16	36	3	13	8	10	4	8	10
contig#15101	40	167	96	79	206	44	63	96	41	14	45	140
contig#15102	1	28	28	8	35	14	5	24	6	0	1	30
contig#15103	18	199	81	36	205	30	18	129	32	8	12	159
contig#15104	5	32	23	6	29	7	4	19	5	2	2	35
contig#15105	77	362	251	67	290	68	88	231	80	18	68	362
contig#15106	156	229	145	217	346	92	209	223	97	63	125	198
contig#15107	98	176	96	108	181	86	120	139	74	28	41	115
contig#15108	17	271	95	19	190	20	12	137	14	7	7	246
contig#15109	81	168	92	108	246	67	90	173	61	25	55	145
contig#1511	1821	31830	16203	2882	22449	3255	2651	15666	3114	733	1008	22706
contig#15110	7	132	28	2	34	4	1	140	2	0	18	55
contig#15111	94	234	103	99	238	79	69	151	89	28	41	159
contig#15112	31	150	80	33	180	17	31	121	21	22	27	134
contig#15113	9	17	3	11	12	11	5	11	3	3	6	7
contig#15114	43	118	51	22	111	75	55	55	76	27	11	82
contig#15115	3	161	29	3	99	10	0	115	1	0	7	99
contig#15116	26	97	73	35	101	16	17	80	16	10	19	103
contig#15117	39	1467	146	33	225	176	156	413	399	21	18	895
contig#15118	46	252	117	57	188	86	75	203	51	9	47	169
contig#15119	36	69	57	23	107	10	43	75	23	11	41	76
contig#1512	90	289	237	108	308	49	76	227	44	16	49	248
contig#15120	5	62	65	1	11	7	3	23	8	0	14	47
contig#15121	54	143	69	71	156	69	94	95	54	25	30	98
contig#15122	4	53	14	20	50	9	16	31	14	6	9	45
contig#15123	71	44	42	54	143	58	81	96	62	72	41	17
contig#15124	113	323	202	131	444	77	125	336	86	42	91	338
contig#15125	50	194	87	59	223	44	102	148	41	13	46	136
contig#15126	51	272	275	129	337	96	99	159	166	6	42	223
contig#15127	105	559	410	156	646	94	142	574	132	21	74	558
contig#15128	3	16	17	2	23	1	2	24	2	1	5	9
contig#15129	40	52	32	48	79	37	41	33	32	14	32	25
contig#1513	852	5340	3787	1332	5275	794	1164	3674	761	437	618	5156
contig#15130	18	80	50	22	76	9	30	84	21	7	8	78
contig#15131	1	11	3	0	12	1	1	8	1	0	0	10
contig#15132	3	13	8	0	13	0	2	26	1	0	0	15
contig#15133	22	428	81	42	191	66	20	63	12	5	15	110
contig#15134	22	280	150	41	270	42	49	165	31	15	17	205
contig#15135	1	33	13	2	20	3	2	29	6	0	2	36
contig#15136	9	116	59	22	96	6	25	73	12	3	10	90
contig#15138	3	25	6	0	12	1	0	17	0	0	1	18
contig#15139	8	27	14	1	18	1	4	20	5	0	1	21
contig#1514	178	735	355	255	773	140	196	815	195	29	129	755
contig#15140	64	353	159	75	495	79	94	312	88	21	33	200
contig#15143	71	357	211	71	349	69	52	243	81	23	42	277
contig#15144	21	138	75	31	115	7	18	88	5	6	16	141
contig#15145	9	75	49	22	96	20	39	46	11	7	15	47
contig#15146	59	198	139	79	357	61	113	194	100	26	97	177
contig#15147	1	13	12	0	11	2	0	5	0	0	0	27
contig#15148	2	9	4	1	5	1	1	7	1	0	0	10
contig#15149	4	55	28	1	38	9	5	21	9	5	3	50
contig#1515	460	2778	2558	743	2720	248	578	1694	227	76	260	1899
contig#15150	2	56	35	5	62	6	9	53	1	2	3	73
contig#15151	25	206	83	52	232	26	45	403	45	12	33	1185
contig#15152	100	293	123	153	311	141	169	218	123	40	68	210
contig#15153	16	5	4	5	12	5	3	8	2	1	7	8
contig#15154	19	325	274	42	364	23	22	316	13	7	20	369
contig#15155	1	21	2	0	9	0	0	7	1	0	0	10
contig#15156	9	120	50	16	93	11	13	97	13	9	6	127
contig#15157	6	153	63	12	90	18	3	51	14	1	7	88
contig#15159	46	171	91	46	230	48	70	136	60	36	41	152
contig#1516	349	9801	5402	455	9501	9470	5193	5028	7659	2771	736	8185
contig#15160	392	53	117	249	98	39	143	73	124	158	160	37
contig#15161	2	29	18	0	4	0	0	6	1	0	3	23
contig#15162	81	160	104	97	217	36	113	163	70	27	38	154
contig#15163	9	242	58	4	198	23	9	160	38	15	4	146
contig#15164	357	238	143	198	180	195	407	117	218	305	311	169
contig#15165	15	123	68	11	65	24	16	85	9	2	16	73
contig#15166	145	561	231	185	546	157	164	376	156	65	98	399
contig#15167	9	65	32	19	54	17	6	31	15	1	6	50
