Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#10215	12	28	357	738	83	464	6	250	12	44	304	24
contig#10216	159	207	308	610	263	709	78	474	146	256	483	184
contig#10217	357	319	1259	2070	512	2426	220	2050	318	567	2112	364
contig#10218	14	22	24	69	21	65	4	30	13	32	50	17
contig#10219	165	231	299	612	220	706	76	490	143	271	501	176
contig#1022	337	344	1489	1604	413	1658	72	1361	215	468	1476	231
contig#10220	1	0	14	18	1	2	3	16	2	5	15	3
contig#10221	24	25	133	189	21	170	4	168	7	28	231	14
contig#10222	61	41	110	328	59	135	5	92	30	45	272	41
contig#10223	30	30	189	418	48	297	14	150	39	50	270	38
contig#10224	15	8	64	110	7	87	11	57	11	12	71	15
contig#10225	35	51	157	204	74	292	22	185	33	64	195	33
contig#10226	72	8	121	162	27	175	25	111	10	41	140	69
contig#10227	69	99	210	497	96	470	31	285	78	109	388	64
contig#10228	63	68	76	184	78	196	32	120	75	102	168	71
contig#10229	307	40	158	1038	64	677	52	316	13	57	504	175
contig#1023	3678	3684	11059	18450	5215	18029	1659	12693	2546	5042	16771	3869
contig#10230	127	177	619	1394	193	1009	31	748	101	146	953	95
contig#10231	16	19	50	103	15	86	0	63	6	15	74	12
contig#10232	34	33	64	212	56	199	9	63	25	52	89	86
contig#10233	21	32	63	111	34	128	2	80	15	22	92	11
contig#10234	1	3	11	22	1	8	0	7	1	1	15	2
contig#10235	48	40	60	90	28	76	6	62	15	24	67	18
contig#10236	209	161	276	485	179	472	25	306	111	156	567	137
contig#10237	1	1	2	0	0	1	0	6	0	2	2	0
contig#10238	19	64	153	176	13	48	0	63	38	0	149	4
contig#10239	4	3	20	32	5	26	0	21	6	4	15	4
contig#1024	107	76	338	823	111	702	26	566	63	107	623	73
contig#10240	5	4	72	83	3	85	3	90	2	3	66	0
contig#10241	276	240	228	428	310	330	61	178	123	246	227	219
contig#10242	117	14	96	281	10	226	17	224	13	86	194	156
contig#10243	196	232	409	805	275	831	132	549	189	303	622	180
contig#10244	30	50	94	95	66	173	10	151	50	79	84	17
contig#10245	25	40	533	974	78	666	12	537	34	49	731	28
contig#10246	52	51	89	247	75	280	22	217	32	63	192	35
contig#10247	76	110	160	224	175	217	35	171	78	140	168	83
contig#10248	14	0	34	118	81	180	4	70	0	0	0	16
contig#10249	28	40	38	64	38	78	7	48	41	55	39	21
contig#1025	619	532	1799	3496	436	2247	187	1819	296	465	2617	429
contig#10250	28	22	115	879	15	538	2	373	9	12	530	42
contig#10251	84	73	148	304	106	393	28	349	69	88	282	78
contig#10252	88	113	241	304	201	442	68	292	120	179	280	100
