"logFC"	"logCPM"	"F"	"PValue"
"contig#10137"	-0.168250157672776	1.84568446955559	0.0833458887223991	0.777256851465284
"contig#10138"	0.2593582794651	3.09006753863034	0.317626001282364	0.582401204753176
"contig#10139"	0.656591589023088	-0.424835479115109	1.2949172844464	0.275196773428123
"contig#1014"	-0.575807149469667	0.553396599386418	1.78024787399374	0.204420527897511
"contig#10140"	0.0855331600979283	4.21001637100509	0.258345807980778	0.619478814060042
"contig#10141"	-0.496228713027962	3.51858812517274	1.96749227689678	0.183588176822691
"contig#10142"	-0.0219302696299546	2.93069448259945	0.0133172395162196	0.909830067652037
"contig#10145"	0.137232206942997	2.34023173607833	0.142319439704131	0.711927739010199
"contig#10146"	0.0899917180417387	2.5041919031823	0.0635675651667174	0.804791816893756
"contig#10147"	-0.123531249788938	2.30941960133054	0.0626067560999792	0.806239736474874
"contig#10148"	0.244132849096123	4.15445093607841	0.139357965583806	0.714793335387268
"contig#10149"	-0.186668800624451	4.68802312662275	0.560091161742239	0.467140928365416
"contig#1015"	-0.100748181964617	3.44720445037481	0.266494106056716	0.614061070368532
"contig#10151"	0.240167990251829	3.12696582312156	0.594032524119859	0.454304648341528
"contig#10152"	-0.0731560319561679	2.57203808756336	0.00666577907283011	0.936143601568622
"contig#10153"	0.101071011930202	4.10630831985871	0.287496547119375	0.600570502950377
"contig#10154"	0.179159818588128	1.72723682220188	0.606215263189525	0.449675352957505
"contig#10155"	0.215188671577029	5.22907094127197	0.0784111191244885	0.783763351517061
"contig#10156"	0.242737115336384	2.6451127900488	0.408190896601875	0.533720899065623
"contig#10157"	-0.5311165736413	2.93072503811794	0.990726628079574	0.337301908226734
"contig#10158"	0.0681547631274185	3.66622574072583	0.0528664038951965	0.821641516653314
"contig#10159"	-0.0390322280986454	2.18790686657314	0.00719095380949081	0.933682003371366
"contig#1016"	0.302139391302207	9.23211505934933	0.693921592643516	0.419356276718673
"contig#10160"	0.0088386341297797	1.86410272458128	0.000798160924368522	0.977875574640526
"contig#10161"	-0.0186334320251294	3.78088087405539	0.00379700896183323	0.951780490335021
"contig#10162"	-0.824910613842444	2.42050755099475	4.45219170433694	0.054308310747858
"contig#10163"	0.117463440117184	2.31853229272891	0.18006824951896	0.678012196772898
"contig#10164"	0.988816728288133	2.62083440014134	1.43625027824708	0.251633578829838
"contig#10165"	0.510055371253105	4.12515357790126	0.339415663544236	0.569897162381391
"contig#10166"	-0.463523103510374	2.70022560572631	1.50747348285248	0.240778595432504
"contig#10169"	0.524616269807437	2.30363727211595	4.33680832269343	0.0568772698525325
"contig#1017"	0.0992034297668863	3.03971580602227	0.0235084350853637	0.880440549002944
"contig#10170"	0.209884739504153	2.07939269602753	0.120278505075718	0.734149951265991
"contig#10171"	-0.137461273323882	0.754918101475069	0.265280250443209	0.614861382775687
"contig#10172"	-0.120229437814962	2.2408447601101	0.0720603452930762	0.792472383733831
"contig#10173"	0.492476766903074	0.885364715645073	0.821838563025669	0.380748929669068
"contig#10174"	-0.0169180253015548	-0.277152191921738	0.00152283341726636	0.969447186893706
"contig#10175"	0.1473420930449	0.148693721641643	0.129441669381832	0.724610577688142
"contig#10176"	0.0380852632872138	1.5891040767995	0.00642717115049356	0.937294239470089
"contig#10177"	-0.256058185856114	0.972069553623177	0.213795059368159	0.651270545121932
"contig#10178"	-0.37112768749551	1.30601520612809	0.521441043709554	0.482711836471121
"contig#1018"	-0.410625922400958	5.85782981729687	1.65557447615352	0.220112866378853
"contig#10180"	-0.053899105917366	2.39353972514545	0.0390029616461382	0.846391227503941
"contig#10181"	-0.486807013015957	0.637642778250622	0.434091860104397	0.521214078073979
"contig#10182"	0.267815556548649	-0.824527060095698	0.144172183068612	0.710152396101371
"contig#10183"	-0.0211632963361857	3.45052162841569	0.00346107415627999	0.953960186659952
"contig#10184"	-0.0645972504604327	1.33808818997377	0.0379592849868651	0.848432249625415
"contig#10185"	-0.156113831030655	1.88565352506471	0.427118860196236	0.524403725336621
"contig#10186"	0.0781772357148315	1.38046343053417	0.0135005766074688	0.909233774904828
"contig#10187"	0.313195498544657	2.57954081668835	0.851805227547482	0.372447137878879
"contig#10188"	0.211392297353853	1.08417140425099	0.142595839896743	0.711662044244595
"contig#10189"	0.0763193801669229	4.6561656090829	0.101372408170909	0.755079293311974
"contig#1019"	-0.000847673745231842	2.79459256436708	5.46590112067427e-06	0.998169255234252
"contig#10190"	-0.178251358967017	3.57635615161215	0.0541200862370123	0.819579224203713
"contig#10191"	0.127209405376329	3.11776743475436	0.363173493227349	0.55675701001847
"contig#10192"	-0.224542776029774	-0.156471985642903	0.101511257963098	0.754963860437412
"contig#10193"	0.190313755453278	4.01382113358199	1.09807627939141	0.313124011229514
"contig#10194"	0.439305176966611	2.36214863026842	1.14445042616728	0.303715339468473
"contig#10195"	0.175467812300789	1.11302636723591	0.0429736245003079	0.838910294808577
"contig#10196"	-0.204961974563327	5.35663558456755	0.660080866366328	0.430712003378679
