	logFC	AveExpr	t	P.Value	adj.P.Val	B
contig#20269	-1.663000038	-0.246737481	-3.967016281	0.001434477	0.313025814	-1.012059239
contig#32662	2.573091131	0.15308319	3.934217321	0.001529338	0.31721796	-1.028795898
contig#48938	3.983134756	1.431979506	3.884295103	0.001686156	0.31721796	-1.032919169
contig#7251	-0.709639744	4.403566086	-3.889893722	0.001667783	0.31721796	-1.033832854
contig#28470	1.919357332	1.381407728	3.871262444	0.001729727	0.318507357	-1.034061928
contig#40830	4.059607773	1.578527707	3.878290623	0.00170609	0.31721796	-1.04031588
contig#53083	3.218067749	0.240111654	3.931258499	0.001538205	0.31721796	-1.045383439
contig#21013	1.329839088	2.993665271	3.853818056	0.001789847	0.318507357	-1.061668039
contig#44700	1.603938608	0.670496302	3.871733566	0.001728132	0.318507357	-1.064949459
contig#34787	1.301907607	2.265447618	3.842799645	0.001828913	0.318507357	-1.072138793
contig#3697	2.912261689	3.768316444	3.850797456	0.001800472	0.318507357	-1.075407195
contig#3739	2.085756639	6.608412493	3.890495504	0.00166582	0.31721796	-1.077312541
contig#48631	-1.58722125	1.769315464	-3.834121493	0.00186029	0.318507357	-1.087780663
contig#36748	2.611726095	1.259856675	3.844226376	0.001823806	0.318507357	-1.088814028
contig#39883	2.144236957	-0.104476955	3.911742116	0.001598012	0.31721796	-1.097813995
contig#26106	2.178727398	0.159520052	3.880766835	0.00169784	0.31721796	-1.099342375
contig#20908	1.683123136	3.038470112	3.831989524	0.001868082	0.318507357	-1.100548722
contig#20334	1.940873617	0.602006837	3.85668444	0.001779825	0.318507357	-1.100864118
contig#20354	2.512996696	0.247587777	3.883246984	0.001689618	0.31721796	-1.10656001
contig#17973	3.336066961	1.427796766	3.834519372	0.00185884	0.318507357	-1.110169063
contig#55898	3.64766625	-1.325428128	4.135768425	0.001033234	0.299694558	-1.127132427
contig#38308	4.348581737	2.793481998	3.809752274	0.00195136	0.318507357	-1.128924173
contig#43979	1.339916709	1.431062388	3.812564018	0.001940625	0.318507357	-1.129927265
contig#20237	3.213912849	0.943969771	3.831874723	0.001868503	0.318507357	-1.135353767
contig#30197	3.230477741	1.355514408	3.812497731	0.001940877	0.318507357	-1.146045797
contig#29755	2.099737164	0.132919785	3.849957293	0.001803438	0.318507357	-1.148452357
contig#48669	2.268108299	-0.905194943	3.976104898	0.001409268	0.313025814	-1.152502957
contig#28612	3.245778311	1.061746943	3.816425943	0.001925978	0.318507357	-1.156645217
contig#970	2.759997206	4.949166289	3.82417069	0.001896943	0.318507357	-1.15705926
contig#10118	1.329897274	5.053485087	3.829946895	0.001875579	0.318507357	-1.158165284
contig#9174	2.276108501	3.954530245	3.808176435	0.001957403	0.318507357	-1.162223515
contig#56241	2.845022673	-1.959729321	4.242295835	0.000841015	0.294972861	-1.165122324
contig#25542	1.655238524	-0.554318752	3.892282455	0.001660006	0.31721796	-1.167824866
contig#17317	1.145495521	3.210806705	3.795951813	0.00200493	0.318507357	-1.170523382
contig#46868	2.513953601	-0.877248078	3.969269891	0.001428184	0.313025814	-1.172076709
contig#53956	3.322739576	-0.266952537	3.919293482	0.001574595	0.31721796	-1.175075315
contig#24891	2.517262006	0.540457185	3.810390894	0.001948917	0.318507357	-1.189762857
contig#29022	1.731408737	3.813888115	3.791387928	0.002022973	0.318628604	-1.191670961
contig#9211	2.907694325	3.013231349	3.776594309	0.002082599	0.321006738	-1.192184782
contig#40898	2.236933577	1.568973969	3.772696926	0.002098603	0.322003141	-1.197689619
contig#29658	2.611136575	-0.391542306	3.882147469	0.001693258	0.31721796	-1.203548242
contig#44793	2.600567496	-0.388483124	3.885307993	0.001682817	0.31721796	-1.211827413
contig#50518	2.902901206	-1.911895265	4.191128546	0.000928293	0.296805212	-1.214550696
contig#22823	2.588915787	0.20978233	3.807788305	0.001958894	0.318507357	-1.21631962
contig#2117	3.755650447	0.686524789	3.80080418	0.001985926	0.318507357	-1.216897994
contig#42942	3.901572626	1.034076163	3.788311998	0.002035226	0.318628604	-1.218869693
contig#37708	2.665758375	-0.675665878	3.921005896	0.001569334	0.31721796	-1.2194637
contig#40599	2.459887115	0.715960919	3.778077647	0.002076541	0.321006738	-1.22612838
contig#23101	1.826530115	0.164127245	3.798766005	0.001993886	0.318507357	-1.226241843
contig#33272	2.041816116	-0.734601103	3.887808031	0.001674604	0.31721796	-1.233275701
contig#21	2.482945251	6.602802304	3.801033072	0.001985034	0.318507357	-1.241897368
contig#25246	1.595951978	0.683513295	3.757102583	0.002163896	0.324595889	-1.247773281
contig#2348	2.498017038	6.803982551	3.799306486	0.001991772	0.318507357	-1.248794021
contig#5225	1.610466095	4.274223212	3.766578692	0.002123978	0.322587878	-1.250822424
contig#4484	2.19663452	4.63983968	3.769370204	0.002112362	0.322003141	-1.252952103
contig#22543	1.980758057	-0.561397603	3.84718216	0.001813272	0.318507357	-1.255066645
